_id,author,tags,title
6458c9efb234123f5b5c037f,"[""Albert Einstein""]","[""/author/Albert-Einstein"",""/tag/change/page/1/"",""/tag/deep-thoughts/page/1/"",""/tag/thinking/page/1/"",""/tag/world/page/1/""]","[""“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”""]"
6458c9efb234123f5b5c0380,"[""J.K. Rowling""]","[""/author/J-K-Rowling"",""/tag/abilities/page/1/"",""/tag/choices/page/1/""]","[""“It is our choices, Harry, that show what we truly are, far more than our abilities.”""]"
6458c9efb234123f5b5c0381,"[""Albert Einstein""]","[""/author/Albert-Einstein"",""/tag/inspirational/page/1/"",""/tag/life/page/1/"",""/tag/live/page/1/"",""/tag/miracle/page/1/"",""/tag/miracles/page/1/""]","[""“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”""]"
6458c9efb234123f5b5c0382,"[""Jane Austen""]","[""/author/Jane-Austen"",""/tag/aliteracy/page/1/"",""/tag/books/page/1/"",""/tag/classic/page/1/"",""/tag/humor/page/1/""]","[""“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”""]"
6458c9efb234123f5b5c0383,"[""Marilyn Monroe""]","[""/author/Marilyn-Monroe"",""/tag/be-yourself/page/1/"",""/tag/inspirational/page/1/""]","[""“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”""]"
6458c9efb234123f5b5c0384,"[""Albert Einstein""]","[""/author/Albert-Einstein"",""/tag/adulthood/page/1/"",""/tag/success/page/1/"",""/tag/value/page/1/""]","[""“Try not to become a man of success. Rather become a man of value.”""]"
6458c9efb234123f5b5c0385,"[""André Gide""]","[""/author/Andre-Gide"",""/tag/life/page/1/"",""/tag/love/page/1/""]","[""“It is better to be hated for what you are than to be loved for what you are not.”""]"
6458c9efb234123f5b5c0386,"[""Thomas A. Edison""]","[""/author/Thomas-A-Edison"",""/tag/edison/page/1/"",""/tag/failure/page/1/"",""/tag/inspirational/page/1/"",""/tag/paraphrased/page/1/""]","[""“I have not failed. I've just found 10,000 ways that won't work.”""]"
6458c9efb234123f5b5c0387,"[""Eleanor Roosevelt""]","[""/author/Eleanor-Roosevelt"",""/tag/misattributed-eleanor-roosevelt/page/1/""]","[""“A woman is like a tea bag; you never know how strong it is until it's in hot water.”""]"
6458c9efb234123f5b5c0388,"[""Steve Martin""]","[""/author/Steve-Martin"",""/tag/humor/page/1/"",""/tag/obvious/page/1/"",""/tag/simile/page/1/""]","[""“A day without sunshine is like, you know, night.”""]"
6458c9f0b234123f5b5c0389,"[""Marilyn Monroe""]","[""/author/Marilyn-Monroe"",""/tag/friends/page/1/"",""/tag/heartbreak/page/1/"",""/tag/inspirational/page/1/"",""/tag/life/page/1/"",""/tag/love/page/1/"",""/tag/sisters/page/1/""]","[""“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”""]"
6458c9f0b234123f5b5c038a,"[""J.K. Rowling""]","[""/author/J-K-Rowling"",""/tag/courage/page/1/"",""/tag/friends/page/1/""]","[""“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”""]"
6458c9f0b234123f5b5c038b,"[""Albert Einstein""]","[""/author/Albert-Einstein"",""/tag/simplicity/page/1/"",""/tag/understand/page/1/""]","[""“If you can't explain it to a six year old, you don't understand it yourself.”""]"
6458c9f0b234123f5b5c038c,"[""Bob Marley""]","[""/author/Bob-Marley"",""/tag/love/page/1/""]","[""“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”""]"
6458c9f0b234123f5b5c038d,"[""Dr. Seuss""]","[""/author/Dr-Seuss"",""/tag/fantasy/page/1/""]","[""“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”""]"
6458c9f0b234123f5b5c038e,"[""Douglas Adams""]","[""/author/Douglas-Adams"",""/tag/life/page/1/"",""/tag/navigation/page/1/""]","[""“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”""]"
6458c9f0b234123f5b5c038f,"[""Elie Wiesel""]","[""/author/Elie-Wiesel"",""/tag/activism/page/1/"",""/tag/apathy/page/1/"",""/tag/hate/page/1/"",""/tag/indifference/page/1/"",""/tag/inspirational/page/1/"",""/tag/love/page/1/"",""/tag/opposite/page/1/"",""/tag/philosophy/page/1/""]","[""“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”""]"
6458c9f0b234123f5b5c0390,"[""Friedrich Nietzsche""]","[""/author/Friedrich-Nietzsche"",""/tag/friendship/page/1/"",""/tag/lack-of-friendship/page/1/"",""/tag/lack-of-love/page/1/"",""/tag/love/page/1/"",""/tag/marriage/page/1/"",""/tag/unhappy-marriage/page/1/""]","[""“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”""]"
6458c9f0b234123f5b5c0391,"[""Mark Twain""]","[""/author/Mark-Twain"",""/tag/books/page/1/"",""/tag/contentment/page/1/"",""/tag/friends/page/1/"",""/tag/friendship/page/1/"",""/tag/life/page/1/""]","[""“Good friends, good books, and a sleepy conscience: this is the ideal life.”""]"
